id, time1, time2, runtime, x1, y1, theta1, scale1, x2, y2, theta2, scale2
WHITE, 2, 1, 398.734375, -11.858100, -18.457200, -0.056980, 1.005600, -9.076544, -20.350807, -0.056965, 1.006896
WHITE, 2, 3, 399.156250, -21.042000, -30.578300, -0.033570, 1.004400, -24.828639, -27.962692, -0.028308, 1.004686
WHITE, 3, 1, 656.546875, 33.419100, 9.686700, -0.033297, 1.001500, 27.022850, 22.542033, -0.026580, 1.000808
WHITE, 3, 2, 91.687500, 21.042000, 30.578300, 0.033570, 0.995640, 25.878944, 27.014026, 0.027783, 0.994520
FA_CUSTOM, 1, 2, 92.625000, -47.632000, 16.126500, 0.012118, 0.993660, -46.397991, 14.565777, 0.013762, 0.993523
FA_CUSTOM, 1, 3, 91.281250, 37.784300, 6.476800, 0.003157, 0.998580, 38.081061, 5.313792, 0.005920, 0.996224
FA_CUSTOM, 2, 1, 229.828125, 47.632000, -16.126500, -0.012118, 1.006400, 46.694866, -13.671471, -0.012855, 1.004966
FA_CUSTOM, 2, 3, 100.171875, 85.655600, -9.267100, -0.010592, 1.002500, 84.142888, -8.314215, -0.007151, 0.998529
FA_CUSTOM, 3, 1, 183.156250, -37.784300, -6.476800, -0.003157, 1.001400, -37.276809, -5.073117, -0.005999, 1.000579
FA_CUSTOM, 3, 2, 93.015625, -85.655600, 9.267100, 0.010592, 0.997530, -85.797313, 8.637062, 0.007974, 1.001933
